ablation_id,ablation_name,seed,training_seed,test_acc,test_wf1,per_class_f1_anxiety,per_class_f1_peace,per_class_f1_weariness,per_class_f1_happiness,per_class_f1_anger,best_epoch,train_time_sec,ckpt_path,result_json_path
A0,Ours full,42,42,0.795883,0.779248,0.637037,0.861619,0.767857,0.744681,0.440678,37,17,/data1/yanjing/pacer_v2/results/final_runs/aide/A0_ours_full_seed42_canonical/best.ckpt.pt,/data1/yanjing/pacer_v2/results/final_runs/aide/A0_ours_full_seed42_canonical/result.json
A0,Ours full,42,123,0.770154,0.764868,0.641791,0.839716,0.791367,0.660714,0.473684,19,16,/data1/yanjing/pacer_v2/results/final_runs/aide/A0_ours_full_seed123_canonical/best.ckpt.pt,/data1/yanjing/pacer_v2/results/final_runs/aide/A0_ours_full_seed123_canonical/result.json
A0,Ours full,42,2024,0.801029,0.785976,0.635135,0.867628,0.807018,0.740741,0.433333,35,17,/data1/yanjing/pacer_v2/results/final_runs/aide/A0_ours_full_seed2024_canonical/best.ckpt.pt,/data1/yanjing/pacer_v2/results/final_runs/aide/A0_ours_full_seed2024_canonical/result.json
A1,w/o prompt weight,42,42,0.804460,0.789661,0.675862,0.867470,0.813559,0.762887,0.372881,37,1403,/data1/yanjing/pacer_v2/results/final_runs/aide/A1_no_prompt_weight_seed42/best.ckpt.pt,/data1/yanjing/pacer_v2/results/final_runs/aide/A1_no_prompt_weight_seed42/result.json
A1,w/o prompt weight,42,123,0.804460,0.794502,0.642336,0.864130,0.850394,0.707071,0.537313,35,1397,/data1/yanjing/pacer_v2/results/final_runs/aide/A1_no_prompt_weight_seed123/best.ckpt.pt,/data1/yanjing/pacer_v2/results/final_runs/aide/A1_no_prompt_weight_seed123/result.json
A1,w/o prompt weight,42,2024,0.799314,0.785408,0.656934,0.856771,0.770642,0.777778,0.483871,37,1414,/data1/yanjing/pacer_v2/results/final_runs/aide/A1_no_prompt_weight_seed2024/best.ckpt.pt,/data1/yanjing/pacer_v2/results/final_runs/aide/A1_no_prompt_weight_seed2024/result.json
A2,w/o class scale γ,42,42,0.785592,0.760703,0.576271,0.850000,0.766355,0.744186,0.400000,38,1379,/data1/yanjing/pacer_v2/results/final_runs/aide/A2_no_class_scale_seed42/best.ckpt.pt,/data1/yanjing/pacer_v2/results/final_runs/aide/A2_no_class_scale_seed42/result.json
A2,w/o class scale γ,42,123,0.809605,0.789816,0.641221,0.871928,0.829268,0.714286,0.436364,36,1398,/data1/yanjing/pacer_v2/results/final_runs/aide/A2_no_class_scale_seed123/best.ckpt.pt,/data1/yanjing/pacer_v2/results/final_runs/aide/A2_no_class_scale_seed123/result.json
A2,w/o class scale γ,42,2024,0.790738,0.771468,0.601504,0.853846,0.770642,0.772727,0.428571,27,1344,/data1/yanjing/pacer_v2/results/final_runs/aide/A2_no_class_scale_seed2024/best.ckpt.pt,/data1/yanjing/pacer_v2/results/final_runs/aide/A2_no_class_scale_seed2024/result.json
A3,w/o class bias b,42,42,0.814751,0.806689,0.696296,0.864430,0.840336,0.757895,0.555556,33,19,/data1/yanjing/pacer_v2/results/final_runs/aide/A3_no_class_bias_seed42/best.ckpt.pt,/data1/yanjing/pacer_v2/results/final_runs/aide/A3_no_class_bias_seed42/result.json
A3,w/o class bias b,42,123,0.797599,0.782412,0.615385,0.861295,0.793651,0.755556,0.476190,38,15,/data1/yanjing/pacer_v2/results/final_runs/aide/A3_no_class_bias_seed123/best.ckpt.pt,/data1/yanjing/pacer_v2/results/final_runs/aide/A3_no_class_bias_seed123/result.json
A3,w/o class bias b,42,2024,0.802744,0.787738,0.616541,0.860465,0.803571,0.767442,0.524590,40,18,/data1/yanjing/pacer_v2/results/final_runs/aide/A3_no_class_bias_seed2024/best.ckpt.pt,/data1/yanjing/pacer_v2/results/final_runs/aide/A3_no_class_bias_seed2024/result.json
A4,w/o adapter MLP,42,42,0.591767,0.441274,0.000000,0.743534,0.000000,0.000000,0.000000,2,17,/data1/yanjing/pacer_v2/results/final_runs/aide/A4_no_adapter_seed42/best.ckpt.pt,/data1/yanjing/pacer_v2/results/final_runs/aide/A4_no_adapter_seed42/result.json
A4,w/o adapter MLP,42,123,0.591767,0.441274,0.000000,0.743534,0.000000,0.000000,0.000000,2,17,/data1/yanjing/pacer_v2/results/final_runs/aide/A4_no_adapter_seed123/best.ckpt.pt,/data1/yanjing/pacer_v2/results/final_runs/aide/A4_no_adapter_seed123/result.json
A4,w/o adapter MLP,42,2024,0.591767,0.441274,0.000000,0.743534,0.000000,0.000000,0.000000,2,16,/data1/yanjing/pacer_v2/results/final_runs/aide/A4_no_adapter_seed2024/best.ckpt.pt,/data1/yanjing/pacer_v2/results/final_runs/aide/A4_no_adapter_seed2024/result.json
A5,temporal mean_pool,42,42,0.814751,0.800242,0.666667,0.876011,0.854839,0.747475,0.421053,37,1351,/data1/yanjing/pacer_v2/results/final_runs/aide/A5_temporal_mean_pool_seed42/best.ckpt.pt,/data1/yanjing/pacer_v2/results/final_runs/aide/A5_temporal_mean_pool_seed42/result.json
A5,temporal mean_pool,42,123,0.794168,0.781243,0.632353,0.859482,0.820896,0.705882,0.459016,38,1338,/data1/yanjing/pacer_v2/results/final_runs/aide/A5_temporal_mean_pool_seed123/best.ckpt.pt,/data1/yanjing/pacer_v2/results/final_runs/aide/A5_temporal_mean_pool_seed123/result.json
A5,temporal mean_pool,42,2024,0.811321,0.799736,0.628571,0.867725,0.842975,0.761905,0.553846,36,1334,/data1/yanjing/pacer_v2/results/final_runs/aide/A5_temporal_mean_pool_seed2024/best.ckpt.pt,/data1/yanjing/pacer_v2/results/final_runs/aide/A5_temporal_mean_pool_seed2024/result.json
A6,temporal cgp_fg,42,42,0.706690,0.670593,0.439716,0.813688,0.565217,0.618557,0.170213,24,1311,/data1/yanjing/pacer_v2/results/final_runs/aide/A6_temporal_cgp_fg_seed42/best.ckpt.pt,/data1/yanjing/pacer_v2/results/final_runs/aide/A6_temporal_cgp_fg_seed42/result.json
A6,temporal cgp_fg,42,123,0.742710,0.712046,0.462810,0.836788,0.681818,0.666667,0.274510,28,1313,/data1/yanjing/pacer_v2/results/final_runs/aide/A6_temporal_cgp_fg_seed123/best.ckpt.pt,/data1/yanjing/pacer_v2/results/final_runs/aide/A6_temporal_cgp_fg_seed123/result.json
A6,temporal cgp_fg,42,2024,0.744425,0.719913,0.516556,0.836173,0.714286,0.659341,0.244898,35,1307,/data1/yanjing/pacer_v2/results/final_runs/aide/A6_temporal_cgp_fg_seed2024/best.ckpt.pt,/data1/yanjing/pacer_v2/results/final_runs/aide/A6_temporal_cgp_fg_seed2024/result.json
A7,temporal taga,42,42,0.687822,0.609953,0.024096,0.802867,0.573770,0.649351,0.170213,30,34,/data1/yanjing/pacer_v2/results/final_runs/aide/A7_temporal_taga_seed42/best.ckpt.pt,/data1/yanjing/pacer_v2/results/final_runs/aide/A7_temporal_taga_seed42/result.json
A7,temporal taga,42,123,0.593482,0.442077,0.000000,0.744887,0.000000,0.000000,0.000000,4,35,/data1/yanjing/pacer_v2/results/final_runs/aide/A7_temporal_taga_seed123/best.ckpt.pt,/data1/yanjing/pacer_v2/results/final_runs/aide/A7_temporal_taga_seed123/result.json
A7,temporal taga,42,2024,0.595197,0.445931,0.000000,0.745690,0.030769,0.000000,0.000000,38,36,/data1/yanjing/pacer_v2/results/final_runs/aide/A7_temporal_taga_seed2024/best.ckpt.pt,/data1/yanjing/pacer_v2/results/final_runs/aide/A7_temporal_taga_seed2024/result.json
